cv_id,filename,tier,template,domain,name,seniority,skills_count,experience_count,misc_count,years_exp,pdf_path,gt_path,pdf_exists,gt_exists,time_extract_pymupdf_raw,status_extract_pymupdf_raw,error_extract_pymupdf_raw,time_extract_pymupdf4llm,status_extract_pymupdf4llm,error_extract_pymupdf4llm,time_extract_docling_default,status_extract_docling_default,error_extract_docling_default,time_extract_docling_custom,status_extract_docling_custom,error_extract_docling_custom,chars_pymupdf_raw,chars_pymupdf4llm,chars_docling_default,chars_docling_custom
2091,cv_02091,T1,T1_academic,data_science,Cynthia Davies,senior,28,3,3,7.7,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_02091.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_02091.json,True,True,0.02,ok,,0.34,ok,,1.14,ok,,3.81,ok,,1688,1795,2643,5818
2283,cv_02283,T1,T1_academic,data_science,Kevin Jackson,junior,24,1,1,1.3,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_02283.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_02283.json,True,True,0.01,ok,,0.4,ok,,1.06,ok,,1.08,ok,,1155,1285,1206,1218
9,cv_00009,T1,T1_academic,data_science,James Morgan,senior,17,3,1,5.9,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_00009.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_00009.json,True,True,0.07,ok,,0.45,ok,,1.18,ok,,2.84,ok,,1552,1709,2625,2355
2319,cv_02319,T1,T1_academic,data_science,Colton Torres,senior,21,3,1,7.3,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_02319.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_02319.json,True,True,0.02,ok,,0.34,ok,,1.08,ok,,3.15,ok,,1531,1669,2605,4109
339,cv_00339,T1,T1_academic,data_science,David Wilson,mid,23,2,1,2.6,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_00339.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_00339.json,True,True,0.01,ok,,0.27,ok,,1.14,ok,,2.25,ok,,1757,1882,2410,2454
2007,cv_02007,T1,T1_academic,data_science,Anthony Martin,mid,23,2,3,3.1,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_02007.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_02007.json,True,True,0.01,ok,,0.35,ok,,1.07,ok,,2.01,ok,,1338,1487,2026,2271
1137,cv_01137,T1,T1_academic,design,Molly Mcneil,senior,22,2,2,6.2,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_01137.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_01137.json,True,True,0.01,ok,,0.35,ok,,1.1,ok,,3.02,ok,,1695,1827,2453,4536
1641,cv_01641,T1,T1_academic,design,Donna Ramirez,lead,15,3,3,8.1,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_01641.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_01641.json,True,True,0.01,ok,,0.32,ok,,1.14,ok,,3.37,ok,,1787,1946,2880,4100
2181,cv_02181,T1,T1_academic,design,Hunter Collins,mid,18,1,1,4.2,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_02181.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_02181.json,True,True,0.01,ok,,0.24,ok,,1.1,ok,,1.18,ok,,1305,1400,1357,1369
3,cv_00003,T1,T1_academic,devops,Derek Zuniga,principal,29,5,1,15.7,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_00003.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_00003.json,True,True,0.01,ok,,0.32,ok,,1.14,ok,,2.74,ok,,2322,2421,3936,5189
345,cv_00345,T1,T1_academic,devops,Roberto Foster,senior,35,3,3,6.3,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_00345.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_00345.json,True,True,0.01,ok,,0.49,ok,,1.15,ok,,3.67,ok,,2183,2392,3171,6643
1389,cv_01389,T1,T1_academic,devops,Johnny Harmon,senior,24,3,3,6.0,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_01389.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_01389.json,True,True,0.01,ok,,0.27,ok,,1.16,ok,,3.22,ok,,1863,1964,2906,4299
579,cv_00579,T1,T1_academic,devops,Megan Rivera,principal,30,5,3,15.8,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_00579.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_00579.json,True,True,0.01,ok,,0.53,ok,,1.63,ok,,3.48,ok,,2387,2723,4033,5567
1569,cv_01569,T1,T1_academic,devops,Kelly Robinson,mid,28,1,2,3.7,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_01569.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_01569.json,True,True,0.01,ok,,0.31,ok,,1.09,ok,,1.06,ok,,1047,1167,1097,1109
15,cv_00015,T1,T1_academic,frontend,Timothy Stanton,lead,17,4,1,10.7,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_00015.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_00015.json,True,True,0.01,ok,,0.33,ok,,1.6,ok,,3.13,ok,,2176,2289,3409,5493
171,cv_00171,T1,T1_academic,frontend,Tyler Daugherty,mid,21,2,3,4.1,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_00171.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_00171.json,True,True,0.01,ok,,0.34,ok,,1.15,ok,,2.37,ok,,1282,1420,1962,2508
1869,cv_01869,T1,T1_academic,frontend,Katie Smith,mid,21,2,1,4.8,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_01869.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_01869.json,True,True,0.01,ok,,0.37,ok,,1.24,ok,,2.38,ok,,1183,1310,1841,2270
1245,cv_01245,T1,T1_academic,frontend,George King,lead,26,5,2,11.8,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_01245.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_01245.json,True,True,0.01,ok,,0.48,ok,,2.15,ok,,3.67,ok,,2664,2856,4201,4180
441,cv_00441,T1,T1_academic,frontend,Matthew Walker,mid,27,2,2,2.4,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_00441.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_00441.json,True,True,0.01,ok,,0.34,ok,,1.19,ok,,2.76,ok,,1626,1760,2254,2664
2187,cv_02187,T1,T1_academic,frontend,Anthony Farmer,senior,25,2,1,6.6,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_02187.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_02187.json,True,True,0.01,ok,,0.26,ok,,1.09,ok,,2.6,ok,,1740,1849,2512,3349
2337,cv_02337,T1,T1_academic,general_it,Sandra Parks,principal,20,4,2,14.4,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_02337.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_02337.json,True,True,0.01,ok,,0.39,ok,,2.1,ok,,3.79,ok,,2575,2762,3976,3242
1887,cv_01887,T1,T1_academic,general_it,Michelle Wall,senior,19,3,3,7.5,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_01887.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_01887.json,True,True,0.01,ok,,0.39,ok,,1.08,ok,,3.39,ok,,1534,1700,2412,3178
1095,cv_01095,T1,T1_academic,mobile,Paul Adams,senior,24,3,1,6.5,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_01095.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_01095.json,True,True,0.01,ok,,0.27,ok,,1.12,ok,,4.51,ok,,1926,2060,3058,7175
861,cv_00861,T1,T1_academic,mobile,Timothy Smith,senior,23,3,3,5.1,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_00861.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_00861.json,True,True,0.01,ok,,0.3,ok,,1.16,ok,,2.26,ok,,2484,2616,3678,6332
333,cv_00333,T1,T1_academic,mobile,Jennifer Hansen,mid,19,2,3,2.8,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_00333.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_00333.json,True,True,0.01,ok,,0.32,ok,,1.19,ok,,2.15,ok,,1106,1232,1672,1930
2223,cv_02223,T1,T1_academic,mobile,Robert Carney,senior,23,3,2,5.2,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_02223.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_02223.json,True,True,0.01,ok,,0.41,ok,,1.12,ok,,2.81,ok,,1611,1751,2686,3670
2367,cv_02367,T1,T1_academic,product_management,Stephanie Bradley,lead,21,3,2,9.2,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_02367.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_02367.json,True,True,0.01,ok,,0.41,ok,,1.14,ok,,3.21,ok,,1676,1838,2717,2443
657,cv_00657,T1,T1_academic,product_management,Joanna Garza,senior,23,3,3,6.5,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_00657.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_00657.json,True,True,0.01,ok,,0.29,ok,,1.06,ok,,3.33,ok,,2004,2143,2909,4326
1725,cv_01725,T1,T1_academic,product_management,Kimberly Hamilton,mid,23,2,1,2.4,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_01725.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_01725.json,True,True,0.01,ok,,0.36,ok,,1.08,ok,,3.11,ok,,1220,1361,1787,3910
1977,cv_01977,T1,T1_academic,product_management,Anna Miller,mid,24,1,3,3.2,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_01977.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_01977.json,True,True,0.01,ok,,0.24,ok,,0.99,ok,,1.12,ok,,1078,1152,1122,1134
45,cv_00045,T1,T1_academic,qa_testing,Joshua Mata,junior,23,1,1,1.8,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_00045.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_00045.json,True,True,0.01,ok,,0.33,ok,,1.06,ok,,3.57,ok,,1100,1232,1596,1546
1119,cv_01119,T1,T1_academic,qa_testing,Mrs. Dana Wallace,senior,19,3,1,6.9,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_01119.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_01119.json,True,True,0.01,ok,,0.51,ok,,1.11,ok,,2.91,ok,,1762,1946,2805,2481
831,cv_00831,T1,T1_academic,qa_testing,Terri Hendricks,lead,24,3,3,8.6,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_00831.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_00831.json,True,True,0.01,ok,,0.27,ok,,1.08,ok,,3.43,ok,,1717,1877,2544,4808
967,cv_00967,T1,T1_classic,backend,Rebecca Willis,intern,29,1,2,0.8,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_00967.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_00967.json,True,True,0.01,ok,,0.24,ok,,1.11,ok,,1.1,ok,,1258,1383,1307,1318
61,cv_00061,T1,T1_classic,backend,James Conner,senior,28,4,3,7.8,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_00061.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_00061.json,True,True,0.01,ok,,0.38,ok,,2.18,ok,,3.19,ok,,2603,2822,2826,2776
649,cv_00649,T1,T1_classic,backend,Michael Burke,mid,32,1,2,3.4,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_00649.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_00649.json,True,True,0.01,ok,,0.34,ok,,1.63,ok,,2.0,ok,,1503,1663,1662,1662
1021,cv_01021,T1,T1_classic,backend,Thomas Meza,lead,30,3,2,8.2,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_01021.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_01021.json,True,True,0.01,ok,,0.26,ok,,1.17,ok,,1.15,ok,,1730,1889,1798,1810
445,cv_00445,T1,T1_classic,backend,Robert Graham,mid,30,2,1,4.8,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_00445.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_00445.json,True,True,0.01,ok,,0.28,ok,,1.19,ok,,2.23,ok,,1964,2137,2169,2132
943,cv_00943,T1,T1_classic,backend,Jill Garner,lead,29,4,3,10.8,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_00943.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_00943.json,True,True,0.01,ok,,0.37,ok,,2.11,ok,,3.27,ok,,2353,2564,2577,2547
361,cv_00361,T1,T1_classic,backend,Patrick Mack,senior,28,2,3,5.5,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_00361.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_00361.json,True,True,0.01,ok,,0.27,ok,,1.56,ok,,2.17,ok,,1769,1913,1930,1958
739,cv_00739,T1,T1_classic,cybersecurity,Adriana Ward,lead,21,4,2,9.5,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_00739.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_00739.json,True,True,0.01,ok,,0.36,ok,,1.11,ok,,2.77,ok,,1695,1857,2800,2236
2365,cv_02365,T1,T1_classic,cybersecurity,Raymond Blackburn,senior,22,3,3,6.1,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_02365.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_02365.json,True,True,0.01,ok,,0.25,ok,,1.28,ok,,2.19,ok,,1732,1865,2746,2729
2449,cv_02449,T1,T1_classic,cybersecurity,Andrea Blanchard,lead,24,3,1,8.3,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_02449.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_02449.json,True,True,0.01,ok,,0.36,ok,,2.05,ok,,3.37,ok,,2260,2440,2448,2471
2359,cv_02359,T1,T1_classic,cybersecurity,Hannah Davis,lead,23,3,1,9.0,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_02359.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_02359.json,True,True,0.01,ok,,0.27,ok,,1.11,ok,,3.04,ok,,1661,1798,2687,3151
1099,cv_01099,T1,T1_classic,cybersecurity,Lindsey Jordan,mid,23,3,1,2.7,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_01099.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_01099.json,True,True,0.01,ok,,0.36,ok,,2.1,ok,,2.31,ok,,2234,2398,2216,2228
2227,cv_02227,T1,T1_classic,data_science,Tammy Larson,principal,22,5,2,15.8,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_02227.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_02227.json,True,True,0.01,ok,,0.46,ok,,2.14,ok,,3.28,ok,,2461,2650,2682,2675
2119,cv_02119,T1,T1_classic,data_science,Jennifer Day,mid,23,2,2,4.8,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_02119.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_02119.json,True,True,0.01,ok,,0.35,ok,,1.14,ok,,1.21,ok,,1721,1892,1789,1800
2299,cv_02299,T1,T1_classic,data_science,Isaac Jones,mid,20,2,1,4.7,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_02299.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_02299.json,True,True,0.01,ok,,0.26,ok,,1.2,ok,,1.21,ok,,1679,1848,1747,1758
481,cv_00481,T1,T1_classic,data_science,Eric Richardson,mid,25,3,3,4.4,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_00481.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_00481.json,True,True,0.01,ok,,0.43,ok,,2.09,ok,,3.23,ok,,2127,2319,2231,2218
1207,cv_01207,T1,T1_classic,data_science,Nancy Garcia,lead,26,4,1,11.6,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_01207.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_01207.json,True,True,0.01,ok,,0.27,ok,,1.22,ok,,2.22,ok,,1871,2019,2055,2039
2305,cv_02305,T1,T1_classic,design,Daniel Chase,senior,17,3,3,5.4,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_02305.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_02305.json,True,True,0.01,ok,,0.38,ok,,2.19,ok,,3.23,ok,,2435,2658,2663,2660
1297,cv_01297,T1,T1_classic,design,Stephanie Chavez,senior,18,3,1,5.4,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_01297.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_01297.json,True,True,0.01,ok,,0.33,ok,,1.21,ok,,1.18,ok,,1840,1985,1909,1920
1843,cv_01843,T1,T1_classic,design,Tony Patterson,lead,19,3,1,8.8,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_01843.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_01843.json,True,True,0.01,ok,,0.51,ok,,2.13,ok,,3.16,ok,,1982,2258,2908,2080
13,cv_00013,T1,T1_classic,devops,Robert Evans,junior,26,2,3,1.4,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_00013.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_00013.json,True,True,0.01,ok,,0.26,ok,,1.17,ok,,1.29,ok,,1534,1665,1594,1606
187,cv_00187,T1,T1_classic,devops,Jessica Diaz,mid,36,2,3,3.2,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_00187.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_00187.json,True,True,0.01,ok,,0.25,ok,,1.08,ok,,2.1,ok,,1582,1699,1769,1762
1405,cv_01405,T1,T1_classic,devops,Brooke Potter,principal,25,4,2,12.6,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_01405.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_01405.json,True,True,0.01,ok,,0.43,ok,,1.15,ok,,2.48,ok,,1766,1965,2943,3207
691,cv_00691,T1,T1_classic,devops,Erika Hodge,junior,29,2,1,1.8,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_00691.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_00691.json,True,True,0.01,ok,,0.27,ok,,1.64,ok,,2.18,ok,,1748,1905,1947,1926
1879,cv_01879,T1,T1_classic,devops,Megan Carlson,junior,32,1,2,1.5,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_01879.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_01879.json,True,True,0.01,ok,,0.33,ok,,1.15,ok,,2.58,ok,,1574,1749,1764,1746
1483,cv_01483,T1,T1_classic,frontend,Amanda Lowery,senior,25,3,3,6.4,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_01483.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_01483.json,True,True,0.01,ok,,0.28,ok,,1.14,ok,,1.17,ok,,1961,2125,2033,2044
139,cv_00139,T1,T1_classic,frontend,Anthony Guzman,mid,24,1,1,3.8,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_00139.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_00139.json,True,True,0.01,ok,,0.23,ok,,1.08,ok,,1.1,ok,,942,1029,984,995
1585,cv_01585,T1,T1_classic,frontend,Heather Chavez,senior,25,3,1,6.2,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_01585.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_01585.json,True,True,0.01,ok,,0.41,ok,,1.14,ok,,2.26,ok,,1720,1920,2519,2584
505,cv_00505,T1,T1_classic,frontend,Daniel Russell,lead,25,4,1,8.2,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_00505.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_00505.json,True,True,0.01,ok,,0.37,ok,,2.7,ok,,2.8,ok,,2198,2366,2271,2283
799,cv_00799,T1,T1_classic,frontend,Sandra Lopez,senior,26,3,2,7.0,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_00799.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_00799.json,True,True,0.01,ok,,0.35,ok,,1.19,ok,,1.2,ok,,1977,2116,2041,2053
601,cv_00601,T1,T1_classic,general_it,William Vaughn,mid,20,1,1,3.2,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/pdfs/cv_00601.pdf,/kaggle/input/datasets/anasahmad25/cv-parsing-eramatch/ground_truth/cv_00601.json,True,True,0.01,ok,,0.31,ok,,1.11,ok,,1.17,ok,,1572,1734,1630,1641
